Stock Number,Days,Year,Model,VIN,Trim,Model Code,Cylinders,Trans,Color,Color Code,MSRP,Invoice,E-Price,Model Code_Key,SKU,KBB AVAIL,KBB_HIGH,KBB_FAIR,KBB_LOW,Strategy,+/-,Color DS,BASE E-Price,Age Discount,DEMO Discount,Accessories,Accessories Cost,E-Price2,DC_CASH,DC_LEASE,DC_FINANCE,,
HM201805,97,2020,HRV,3CZRU6H54LM733629,AWD EX,RU6H5LJW,4,AUTO,SX,GR,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWSX/GR,YES,26327,25552.5,24778.0,L_Less_1250,-15,NO SALES,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201806,97,2020,HRV,3CZRU6H75LM734595,AWD EXL,RU6H7LJNW,4,AUTO,BT,BK,28290,27524.36,"$25,166",RU6H7LJNW,RU6H7LJNWBT/BK,YES,27934,27112.5,26291.0,L_Less_1000,-4,NO SALES,25291,125,0,-,0,"$25,166",500.0,250.0,0.0,,
HM201820,97,2020,HRV,3CZRU6H53LM735341,AWD EX,RU6H5LJW,4,AUTO,RE,BK,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWRE/BK,YES,26327,25552.5,24778.0,L_Less_1250,-15,90.00,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201830,97,2020,FIT,3HGGK5H49LM727766,LX,GK5H4LEW,4,AUTO,BK,BK,17945,17494.33,"$15,400",GK5H4LEW,GK5H4LEWBK/BK,YES,17550,17037.5,16525.0,L_Less_1000,-7,240.00,15525,125,0,-,0,"$15,400",500.0,0.0,0.0,,
HM201951,97,2020,ACCORD,1HGCV1F39LA139288,4D SPORT-T,CV1F3LEW,4,AUTO,BK,BK,27935,25638.48,"$24,148",CV1F3LEW,CV1F3LEWBK/BK,YES,27162,25967.5,24773.0,L_Less_500,0,120.00,24273,125,0,-,0,"$24,148",500.0,0.0,0.0,,
HM201943,96,2020,CIVIC,2HGFC2F69LH585803,4D LX,FC2F6LEW,4,AUTO,GX,GR,21755,20286.64,"$18,288",FC2F6LEW,FC2F6LEWGX/GR,YES,21014,20213.5,19413.0,L_Less_1000,-11,NO SALES,18413,125,0,-,0,"$18,288",500.0,500.0,0.0,,
HM201942,92,2020,RIDGELINE,5FPYK3F55LB020503,AWD RTL,YK3F5LJNW,6,AUTO,SX,GR,39940,36602.76,"$36,377",YK3F5LJNW,YK3F5LJNWSX/GR,YES,38799,37267.5,35736.0,FL,-5,NO SALES,36501.75,125,0,-,0,"$36,377",0.0,0.0,0.0,,
HM201966,92,2020,CIVIC,2HGFC2F68LH588157,4D LX,FC2F6LEW,4,AUTO,BT,BK,21755,20286.64,"$18,288",FC2F6LEW,FC2F6LEWBT/BK,YES,21014,20213.5,19413.0,L_Less_1000,-11,NO SALES,18413,125,0,-,0,"$18,288",500.0,500.0,0.0,,
HM201973,91,2020,ACCORD,1HGCV2F59LA029395,4D EXL-2T,CV2F5LJNW,4,AUTO,GY,BK,33525,30737.13,"$28,936",CV2F5LJNW,CV2F5LJNWGY/BK,YES,32432,30996.5,29561.0,L_LESS_500,-2,NO SALES,29061,125,0,-,0,"$28,936",500.0,0.0,0.0,,
HM201980,91,2020,CIVIC,2HGFC2F66LH588772,4D LX,FC2F6LEW,4,AUTO,GX,GR,21755,20286.64,"$18,288",FC2F6LEW,FC2F6LEWGX/GR,YES,21014,20213.5,19413.0,L_Less_1000,-11,NO SALES,18413,125,0,-,0,"$18,288",500.0,500.0,0.0,,
HM201800,90,2020,HRV,3CZRU6H5XLM735630,AWD EX,RU6H5LJW,4,AUTO,SX,GR,26690,25973.86,"$23,403",RU6H5LJW,RU6H5LJWSX/GR,YES,26327,25552.5,24778.0,L_Less_1250,-15,NO SALES,23528,125,0,-,0,"$23,403",500.0,250.0,0.0,,
HM201998,90,2020,CIVIC,2HGFC2F69LH579726,4D LX,FC2F6LEW,4,AUTO,BI,GR,21755,20286.64,"$18,288",FC2F6LEW,FC2F6LEWBI/GR,YES,21014,20213.5,19413.0,L_Less_1000,-11,240.00,18413,125,0,-,0,"$18,288",500.0,500.0,0.0,,
HM201999,90,2020,CRV,2HKRW2H58LH684966,AWD EX-T,RW2H5LJW,4,AUTO,SV,GR,30280,28491.68,"$27,293",RW2H5LJW,RW2H5LJWSV/GR,YES,29555,28486.5,27418.0,L,31,45.00,27418.0,125,0,-,0,"$27,293",500.0,500.0,0.0,,
HM210091,90,2021,ODYSSEY,5FNRL6H56MB016051,EX,RL6H5MEXW,6,AUTO,RX,BE,36705,34293.52,"$32,768",RL6H5MEXW+,RL6H5MEXW+RX/BE,YES,35662,34277.5,32893.0,L,-3,NO SALES,32893.0,125,0,-,0,"$32,768",0.0,1000.0,0.0,,
HM202009,89,2020,ACCORD,1HGCV1F39LA141140,4D SPORT-T,CV1F3LEW,4,AUTO,WX,BK,27935,25638.48,"$24,273",CV1F3LEW,CV1F3LEWWX/BK,YES,27162,25967.5,24773.0,L_Less_500,0,40.00,24273,0,0,-,0,"$24,273",500.0,0.0,0.0,,
HM210088,89,2021,ODYSSEY,5FNRL6H78MB009779,EXL,RL6H7MJXW,6,AUTO,BK,BK,39580,36969.57,"$35,413",RL6H7MJXW,RL6H7MJXWBK/BK,YES,38402,36907.5,35413.0,L,0,NO SALES,35413.0,0,0,-,0,"$35,413",0.0,1000.0,0.0,,
HM202015,85,2020,CIVIC,2HGFC2F80LH592415,4D SPORT,FC2F8LEW,4,AUTO,GY,BK,23555,21953.08,"$20,942",FC2F8LEW,FC2F8LEWGY/BK,YES,22925,22058.5,21192.0,L_LESS_250,5,60.00,20942,0,0,-,0,"$20,942",0.0,500.0,0.0,,
HM202016,85,2020,CIVIC,2HGFC2F85LH592832,4D SPORT,FC2F8LEW,4,AUTO,GY,BK,23555,21953.08,"$20,942",FC2F8LEW,FC2F8LEWGY/BK,YES,22925,22058.5,21192.0,L_LESS_250,5,60.00,20942,0,0,-,0,"$20,942",0.0,500.0,0.0,,
HM202017,85,2020,CIVIC,2HGFC2F80LH590910,4D SPORT,FC2F8LEW,4,AUTO,GY,BK,23555,21953.08,"$20,942",FC2F8LEW,FC2F8LEWGY/BK,YES,22925,22058.5,21192.0,L_LESS_250,5,60.00,20942,0,0,-,0,"$20,942",0.0,500.0,0.0,,
HM202018,85,2020,CIVIC,2HGFC2F68LH593360,4D LX,FC2F6LEW,4,AUTO,BK,BK,21755,20286.64,"$18,413",FC2F6LEW,FC2F6LEWBK/BK,YES,21014,20213.5,19413.0,L_Less_1000,-11,30.00,18413,0,0,-,0,"$18,413",500.0,500.0,0.0,,
HM202019,85,2020,CIVIC,2HGFC2F65LH593574,4D LX,FC2F6LEW,4,AUTO,BT,BK,21755,20286.64,"$18,413",FC2F6LEW,FC2F6LEWBT/BK,YES,21014,20213.5,19413.0,L_Less_1000,-11,NO SALES,18413,0,0,-,0,"$18,413",500.0,500.0,0.0,,
HM202024,85,2020,CRV,2HKRW2H88LH681639,AWD EXL-T,RW2H8LJNW,4,AUTO,WX,BK,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWWX/BK,YES,31931,30776.5,29622.0,L,3,120.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
HM202029,85,2020,CRV,2HKRW2H88LH686419,AWD EXL-T,RW2H8LJNW,4,AUTO,WX,BK,32770,30822.57,"$29,622",RW2H8LJNW,RW2H8LJNWWX/BK,YES,31931,30776.5,29622.0,L,3,120.00,29622.0,0,0,-,0,"$29,622",500.0,500.0,0.0,,
